measured_gene,n_robust_regulators,is_ISG
ZFYVE28,6,False
HHLA2,6,False
IL4I1,6,False
CLU,6,False
TDRD7,6,False
TCN2,6,False
RHOC,6,False
CTSO,6,False
HMSD,6,False
EBI3,6,False
SCARB2,6,False
ALPK1,6,False
GPD2,6,False
SAMD9L,5,True
EPSTI1,5,True
IFI44,5,True
IFI44L,5,True
TRANK1,5,False
CORO1B,5,False
KANSL1L,5,False
POGLUT3,5,False
ARHGAP18,5,False
KCTD3,5,False
PON2,5,False
KIAA1217,5,False
MSRB2,5,False
USP11,5,False
CD27,5,False
CCDC141,5,False
CBY1,5,False
TWSG1,5,False
YPEL5,5,False
MAGEF1,5,False
MAP1A,5,False
MUC1,5,False
NIPSNAP3A,5,False
PHLDA2,5,False
SAV1,5,False
SWT1,5,False
SLC35D2,5,False
GLIPR1,5,False
GLRX,5,False
GPR18,5,False
EXTL2,5,False
EVI2A,5,False
STAT4,5,False
STK3,5,False
SUSD1,5,False
SYNJ2BP,5,False
CYFIP1,5,False
DPYSL2,5,False
DOCK7,5,False
TCEAL4,5,False
SERPINH1,5,False
TENT5C,5,False
IL3,5,False
ANXA2R,5,False
TK2,5,False
IPCEF1,5,False
GCSAM,5,False
ABCB1,5,False
ACSL6,5,False
AKAP5,5,False
PJA2,5,False
ADPRH,5,False
NUCB2,5,False
PLAAT4,5,False
ADA2,5,False
IFI6,4,True
OAS1,4,True
OAS3,4,True
IFI35,4,True
BST2,4,True
CMPK2,4,True
SAMD9,4,True
RIGI,4,True
HELZ2,4,True
MX1,4,True
APOL4,4,True
APOL1,4,True
GBP1,4,True
XAF1,4,True
TCAF1,4,False
MAML2,4,False
TCEAL1,4,False
ANXA1,4,False
CASP10,4,False
ZNF704,4,False
IKZF3,4,False
DLG4,4,False
SGCB,4,False
CCDC92,4,False
CAPG,4,False
ID2,4,False
ICAM1,4,False
USP6NL,4,False
ACTN1,4,False
SH3TC1,4,False
VAMP5,4,False
C4orf33,4,False
MBOAT1,4,False
PDCD1LG2,4,False
VNN2,4,False
MIEN1,4,False
DENND10,4,False
IL3RA,4,False
PATL2,4,False
CLEC2B,4,False
CNKSR2,4,False
KIF13B,4,False
CPLANE1,4,False
TPM4,4,False
KIFBP,4,False
CGREF1,4,False
TRAM2,4,False
PLAT,4,False
TMEM63A,4,False
LAMP3,4,False
LDLRAD4,4,False
CTDSP2,4,False
TMEM220,4,False
LGALS3,4,False
CD96,4,False
TMEM169,4,False
RGS16,4,False
TMEM140,4,False
LRATD2,4,False
TSTD1,4,False
AKAP7,4,False
IRAG2,4,False
PLAAT3,4,False
RASGRP3,4,False
SLC26A11,4,False
B3GNT5,4,False
SPATA20,4,False
PRR5,4,False
GSAP,4,False
GRN,4,False
SORT1,4,False
NCF4,4,False
NCR3LG1,4,False
PRDM8,4,False
ZCCHC24,4,False
SMPD1,4,False
NT5E,4,False
NRP2,4,False
NOD2,4,False
POLR3G,4,False
SLC35F3,4,False
POLI,4,False
GIMAP7,4,False
APH1B,4,False
SMAD1,4,False
BAZ2B,4,False
KAT2B,4,False
PINK1,4,False
EVI5,4,False
H6PD,4,False
EVA1B,4,False
ERI2,4,False
BMF,4,False
EVI2B,4,False
MSRA,4,False
