PC,sign,gene,loading
1,+,FILIP1L,0.0652
1,+,GOLGA7B,0.0645
1,+,GZMA,0.0605
1,+,KLF2,0.06
1,+,RSAD2,0.0595
1,+,PLXNA4,0.0589
1,+,CYSLTR2,0.058
1,+,HKDC1,0.0572
1,+,IRX3,0.0541
1,+,EGLN3,0.0536
1,+,PDCD1LG2,0.0535
1,+,SMPD3,0.0518
1,+,DACT1,0.0518
1,+,RAB27B,0.0517
1,+,MYO1F,0.0502
1,-,CXCL8,-0.0436
1,-,DOK5,-0.0389
1,-,IL2,-0.0358
1,-,ARMC9,-0.0357
1,-,XIRP1,-0.0354
1,-,CRTAM,-0.0354
1,-,IL5,-0.0344
1,-,CCL4,-0.0344
1,-,PMCH,-0.0342
1,-,IL3,-0.0333
1,-,POU2AF1,-0.032
1,-,SHC4,-0.0317
1,-,CD200,-0.0315
1,-,TIAM2,-0.0315
1,-,IFNG,-0.0312
2,+,FN1,0.0776
2,+,ODAPH,0.0741
2,+,BVES,0.0724
2,+,CXCL8,0.0673
2,+,AFAP1L2,0.0669
2,+,CCL1,0.0634
2,+,SHISA2,0.0617
2,+,TCN2,0.0609
2,+,CD276,0.0602
2,+,ITGA9,0.0596
2,+,SIX1,0.0595
2,+,APBB2,0.0572
2,+,PLAAT3,0.0571
2,+,PPARG,0.0566
2,+,CCL3,0.0565
2,-,PLXNA4,-0.0431
2,-,PLAC8,-0.0329
2,-,TCF7,-0.0321
2,-,LIMS2,-0.0289
2,-,SIGLEC6,-0.0265
2,-,B3GALT2,-0.0259
2,-,PI16,-0.0256
2,-,PRG4,-0.0249
2,-,IL17F,-0.0244
2,-,ANO9,-0.0241
2,-,SBK1,-0.0237
2,-,SNAI3,-0.0236
2,-,PLEKHG3,-0.0236
2,-,ITGA6,-0.0228
2,-,KLF3,-0.0221
3,+,IL22,0.0642
3,+,CXCL10,0.0616
3,+,IL5,0.0574
3,+,MSC,0.0561
3,+,IL10,0.0476
3,+,HHLA2,0.0458
3,+,IFIT3,0.0436
3,+,TNFRSF8,0.0435
3,+,CA2,0.0431
3,+,IGHM,0.0422
3,+,TCN2,0.0421
3,+,BATF3,0.042
3,+,TMOD1,0.0414
3,+,SORT1,0.0393
3,+,TOX2,0.0384
3,-,NLRP6,-0.0567
3,-,ZBTB16,-0.0557
3,-,INSM1,-0.0516
3,-,TSHZ3,-0.0485
3,-,UBE2QL1,-0.048
3,-,FGFBP2,-0.0451
3,-,PGGHG,-0.0439
3,-,ITGB5,-0.0437
3,-,MXRA8,-0.0429
3,-,PCSK5,-0.042
3,-,NT5E,-0.0418
3,-,CDH23,-0.0413
3,-,RASGEF1B,-0.0413
3,-,REG4,-0.0408
3,-,KCNG3,-0.0406
4,+,MB,0.0795
4,+,GNLY,0.0759
4,+,EOMES,0.0652
4,+,IL5,0.0651
4,+,CCR8,0.0644
4,+,AFAP1L2,0.0637
4,+,COL6A3,0.0608
4,+,ENTPD1,0.0598
4,+,PTPN3,0.0571
4,+,CCR2,0.0564
4,+,CX3CR1,0.0555
4,+,PDE7B,0.0548
4,+,PECAM1,0.0546
4,+,CCR1,0.0527
4,+,MVB12B,0.0519
4,-,TCN2,-0.0607
4,-,IL2,-0.0519
4,-,KIAA1217,-0.0517
4,-,IFIT3,-0.049
4,-,IGFBP3,-0.0487
4,-,CFH,-0.0473
4,-,EGFL6,-0.0458
4,-,IFI27,-0.0447
4,-,LY9,-0.0438
4,-,TTN,-0.042
4,-,CAMSAP2,-0.04
4,-,CXCL8,-0.0389
4,-,ALPK1,-0.0381
4,-,DENND2B,-0.0368
4,-,IFI44L,-0.0368
5,+,GNLY,0.0891
5,+,CCR1,0.0752
5,+,AFAP1L2,0.0611
5,+,CSF2RB,0.0611
5,+,CCR5,0.0588
5,+,CCR2,0.0563
5,+,CCL1,0.0538
5,+,CCL4,0.0537
5,+,GZMA,0.0536
5,+,IL4,0.0527
5,+,CCL3,0.0523
5,+,LAG3,0.0518
5,+,IL3,0.0518
5,+,CXCR6,0.0515
5,+,IL13,0.0514
5,-,STC2,-0.0779
5,-,CBS,-0.0732
5,-,SLC6A9,-0.0695
5,-,CTH,-0.0663
5,-,PRG4,-0.065
5,-,ASS1,-0.0617
5,-,CHAC1,-0.0601
5,-,VLDLR,-0.0534
5,-,GALNT12,-0.0516
5,-,PHGDH,-0.0496
5,-,EFHC1,-0.0494
5,-,CLIC6,-0.0494
5,-,SPNS3,-0.0488
5,-,DNAJC12,-0.0483
5,-,PLEKHG1,-0.0476
6,+,IL3,0.1051
6,+,CXCL8,0.0916
6,+,EPGN,0.0806
6,+,NRP1,0.076
6,+,IL17RB,0.0736
6,+,STC2,0.0709
6,+,SPNS3,0.0676
6,+,GRB10,0.0676
6,+,CTH,0.0631
6,+,SLC7A11,0.0624
6,+,CHDH,0.0606
6,+,GOLGA7B,0.0606
6,+,CCL4L2,0.0585
6,+,GNLY,0.0585
6,+,DNAJC12,0.0578
6,-,IL17F,-0.066
6,-,XCL1,-0.0573
6,-,NCR3LG1,-0.0533
6,-,ID3,-0.0484
6,-,TNFSF4,-0.0449
6,-,HHLA2,-0.0446
6,-,MDK,-0.0445
6,-,CYP7B1,-0.0439
6,-,NUCB2,-0.0433
6,-,EBI3,-0.0428
6,-,CXCL9,-0.0417
6,-,NID1,-0.0412
6,-,TCN2,-0.0407
6,-,ATL1,-0.0398
6,-,TGFB1I1,-0.0396
