config,held_out,holdout_frac,seed,optimal_rank,peak_r2,n_test
primary,Stim48hr,0.2,0,7,0.0424,604
primary,Stim48hr,0.2,1,7,0.06,604
primary,Stim48hr,0.2,2,7,0.069,604
primary,Stim48hr,0.2,3,7,0.0425,604
primary,Stim48hr,0.2,4,7,0.053,604
primary,Stim48hr,0.2,5,7,0.0566,604
primary,Stim48hr,0.2,6,7,0.0455,604
primary,Stim48hr,0.2,7,7,0.0468,604
primary,Stim48hr,0.2,8,7,0.0649,604
primary,Stim48hr,0.2,9,7,0.0626,604
primary,Stim48hr,0.2,10,7,0.0656,604
primary,Stim48hr,0.2,11,7,0.0612,604
primary,Stim48hr,0.2,12,7,0.0471,604
primary,Stim48hr,0.2,13,7,0.0646,604
primary,Stim48hr,0.2,14,7,0.0584,604
robustness,Rest,0.2,100,11,0.1284,604
robustness,Rest,0.2,101,11,0.1443,604
robustness,Rest,0.2,102,10,0.1203,604
robustness,Stim8hr,0.2,100,11,0.1245,604
robustness,Stim8hr,0.2,101,12,0.1243,604
robustness,Stim8hr,0.2,102,12,0.1185,604
robustness,Stim48hr,0.1,100,7,0.0628,302
robustness,Stim48hr,0.1,101,7,0.06,302
robustness,Stim48hr,0.1,102,10,0.0582,302
robustness,Stim48hr,0.4,100,7,0.0621,1209
robustness,Stim48hr,0.4,101,7,0.0541,1209
robustness,Stim48hr,0.4,102,7,0.0516,1209
