rank,r2_vs_geneMean,r2_vs_rank1,beats_rank1
1,0.07788361386568776,7.973621762857874e-13,False
2,0.11966601197271942,0.04531141484524892,True
3,0.1468101274743847,0.07474817132176814,True
4,0.1676914550634716,0.09739317351786703,True
5,0.1851652934636674,0.11634288383961444,True
6,0.20086598228255137,0.13336968116689296,True
7,0.2136095266635104,0.14718956830106733,True
8,0.22424953466124686,0.15872825057341344,True
9,0.23412271601742485,0.16943533864237237,True
10,0.24337095700841016,0.17946470275523485,True
11,0.2524817937350101,0.189345057191606,True
12,0.2594515517469247,0.19690349354162862,True
13,0.2657914127394774,0.2037788306334305,True
14,0.27195354043085773,0.21046142274873636,True
15,0.27729425722829437,0.2162532261238197,True
16,0.28217079494069963,0.22154164501077245,True
17,0.2871420923748016,0.22693282719650354,True
18,0.29167558455967957,0.23184922631167337,True
19,0.2956239675712654,0.23613109687698797,True
20,0.29951272818322006,0.24034830922721406,True
21,0.3031554778880404,0.2442987321451806,True
22,0.3066211890668704,0.24805716354379848,True
23,0.30996010170815236,0.2516780867715882,True
24,0.313104509652124,0.2550880770843632,True
25,0.31605079024735916,0.2582832058550212,True
26,0.31897765329855265,0.26145727704083,True
27,0.3217646982170502,0.26447972080216386,True
28,0.32436397147977847,0.26729853337486187,True
29,0.3268744093322733,0.27002100733828094,True
30,0.3290628644429866,0.27239430331655334,True
31,0.33127602099852005,0.2747943870682472,True
32,0.3334317727930186,0.2771322175492066,True
33,0.3353442067317832,0.27920617910928713,True
34,0.3371581242465147,0.28117330337039526,True
35,0.3390731211171265,0.2832500443321716,True
36,0.34085999319745275,0.28518783885268295,True
37,0.34252822540806505,0.28699697296600724,True
38,0.3442214769546631,0.2888332395935803,True
39,0.34598387950811405,0.290744497846823,True
40,0.34744210269602993,0.292325885196448,True
41,0.34888127576723693,0.2938866134221323,True
42,0.35028048827644165,0.2954040059446418,True
43,0.35154707224696313,0.2967775678827721,True
44,0.3527873843490532,0.2981226389830578,True
45,0.35399244092030735,0.299429476806757,True
46,0.355174587146756,0.3007114692365884,True
47,0.35636572088605367,0.3020032082808215,True
48,0.35740467886884597,0.3031299185295646,True
49,0.3584861201806736,0.3043027003259715,True
50,0.3594978417628123,0.3053998737385155,True
