factor,set_name,n_overlap,set_size,n_drawn,background_size,pvalue,overlap_genes,fdr
1,IFN_ISG,0,14,50,2000,1.0,,1.0
1,TCR_PROXIMAL,0,7,50,2000,1.0,,1.0
1,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
1,MEDIATOR,0,3,50,2000,1.0,,1.0
2,IFN_ISG,0,14,50,2000,1.0,,1.0
2,TCR_PROXIMAL,0,7,50,2000,1.0,,1.0
2,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
2,MEDIATOR,0,3,50,2000,1.0,,1.0
3,IFN_ISG,0,14,50,2000,1.0,,1.0
3,TCR_PROXIMAL,0,7,50,2000,1.0,,1.0
3,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
3,MEDIATOR,0,3,50,2000,1.0,,1.0
4,TCR_PROXIMAL,1,7,50,2000,0.16263437751863652,CD3D,0.6505375100745461
4,IFN_ISG,0,14,50,2000,1.0,,1.0
4,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
4,MEDIATOR,0,3,50,2000,1.0,,1.0
5,IFN_ISG,0,14,50,2000,1.0,,1.0
5,TCR_PROXIMAL,0,7,50,2000,1.0,,1.0
5,CHROMATIN_SAGA,0,6,50,2000,1.0,,1.0
5,MEDIATOR,0,3,50,2000,1.0,,1.0
6,CHROMATIN_SAGA,1,6,50,2000,0.1410971958704532,KAT2B,0.5643887834818128
6,IFN_ISG,0,14,50,2000,1.0,,1.0
6,TCR_PROXIMAL,0,7,50,2000,1.0,,1.0
6,MEDIATOR,0,3,50,2000,1.0,,1.0
