gene,reg_class,condition,n_downstream,n_isg,isg_fold,isg_p,frac_isg_up
SGF29,SAGA/chromatin,Rest,1224,6,1.1,0.5152176898606893,0.833
SGF29,SAGA/chromatin,Stim8hr,1265,27,4.6,3.5050727126106157e-13,1.0
SGF29,SAGA/chromatin,Stim48hr,1310,8,1.3,0.2627592512361755,0.125
TADA2B,SAGA/chromatin,Rest,1586,7,0.9,0.625620342774845,0.429
TADA2B,SAGA/chromatin,Stim8hr,1898,36,4.1,1.9717831923759984e-17,0.972
TADA2B,SAGA/chromatin,Stim48hr,1607,22,2.9,7.120110614057003e-07,0.818
SUPT20H,SAGA/chromatin,Rest,1144,6,1.1,0.4470770712845241,0.667
SUPT20H,SAGA/chromatin,Stim8hr,1352,32,5.1,1.2350710463483102e-17,0.969
SUPT20H,SAGA/chromatin,Stim48hr,1084,15,3.0,7.635382920994201e-05,0.867
ZAP70,TCR (context-specific),Rest,1534,6,0.8,0.741290777063256,0.833
ZAP70,TCR (context-specific),Stim8hr,4624,44,2.0,9.348016668281051e-12,1.0
ZAP70,TCR (context-specific),Stim48hr,6242,43,1.5,8.868794727931203e-06,0.977
LCK,TCR (context-specific),Rest,1697,6,0.8,0.8265721842424669,0.833
LCK,TCR (context-specific),Stim8hr,2684,41,3.3,9.357525372490195e-18,0.976
LCK,TCR (context-specific),Stim48hr,1965,32,3.5,7.296273998350079e-13,0.906
CD3E,TCR (context-specific),Rest,1208,4,0.7,0.8314586145008722,0.5
CD3E,TCR (context-specific),Stim8hr,4911,47,2.1,1.8901446761611282e-14,1.0
CD3E,TCR (context-specific),Stim48hr,3498,45,2.8,3.6572080639166675e-18,0.978
MED12,Mediator,Rest,2086,22,2.3,5.750291815703962e-05,1.0
MED12,Mediator,Stim8hr,2499,45,3.9,1.3018919045712493e-24,1.0
MED12,Mediator,Stim48hr,1711,32,4.0,1.3299977080084798e-14,0.906
CCNC,Mediator,Rest,1057,6,1.2,0.3716503302487337,1.0
CCNC,Mediator,Stim8hr,991,13,2.8,0.0004475809226524022,1.0
CCNC,Mediator,Stim48hr,1079,11,2.2,0.009524788128053104,0.545
SENP5,Other robust,Rest,1175,4,0.7,0.8142437980645177,0.5
SENP5,Other robust,Stim8hr,1490,24,3.5,5.90640903497357e-09,0.958
SENP5,Other robust,Stim48hr,826,9,2.3,0.012990255639126091,0.778
KDM1A,Other robust,Rest,1320,5,0.8,0.7554451643108605,0.8
KDM1A,Other robust,Stim8hr,1424,13,2.0,0.01148126870701298,0.923
KDM1A,Other robust,Stim48hr,1388,22,3.4,5.10150591257487e-08,0.909
