gene,old_rank,new_rank,status,rank_shift,guide_corr,donor_corr,single_guide_frac,donor_metadata,reason
TADA2B,2,1,survives,1,0.659,0.847,0.0,present,survives: high EB and reproducible (guide + donor)
SGF29,1,2,survives,-1,0.563,0.815,0.0,present,survives: high EB and reproducible (guide + donor)
MED12,7,3,survives,4,0.531,0.829,0.0,present,survives: high EB and reproducible (guide + donor)
TAF6L,9,4,survives,5,0.566,0.821,0.0,present,survives: high EB and reproducible (guide + donor)
TADA1,5,5,survives,0,0.48,0.809,0.0,present,survives: high EB and reproducible (guide + donor)
ARNT,10,6,survives,4,0.509,0.862,0.0,present,survives: high EB and reproducible (guide + donor)
KDM1A,14,7,survives,7,0.553,0.831,0.0,present,survives: high EB and reproducible (guide + donor)
SUPT20H,4,8,survives,-4,0.422,0.809,0.0,present,survives: high EB and reproducible (guide + donor)
ATAD5,19,9,survives,10,0.595,0.798,0.0,present,survives: high EB and reproducible (guide + donor)
ATP2A2,11,10,survives,1,0.558,0.731,0.0,present,survives: high EB and reproducible (guide + donor)
NFRKB,8,11,survives,-3,0.399,0.834,0.0,present,survives: high EB and reproducible (guide + donor)
SMARCE1,16,12,survives,4,,0.809,0.0,present,survives: high EB and reproducible (guide + donor)
TAF13,12,13,survives,-1,0.452,0.809,0.0,present,survives: high EB and reproducible (guide + donor)
SETDB1,37,14,promoted,23,0.573,0.878,0.0,present,promoted: high guide/donor reproducibility (undervalued by the core)
AHR,26,15,survives,11,0.444,0.825,0.0,present,survives: high EB and reproducible (guide + donor)
CPSF6,31,16,promoted,15,,0.766,0.0,present,promoted: high guide/donor reproducibility (undervalued by the core)
LEO1,13,17,survives,-4,0.383,0.767,0.0,present,survives: high EB and reproducible (guide + donor)
CREBBP,25,18,survives,7,0.399,0.799,0.0,present,survives: high EB and reproducible (guide + donor)
DHX36,21,19,survives,2,0.389,0.795,0.0,present,survives: high EB and reproducible (guide + donor)
NSD1,29,20,survives,9,0.434,0.724,0.0,present,survives: high EB and reproducible (guide + donor)
ELAVL1,22,21,survives,1,0.34,0.791,0.0,present,survives: high EB and reproducible (guide + donor)
WDR82,38,22,promoted,16,0.426,0.849,0.0,present,promoted: high guide/donor reproducibility (undervalued by the core)
RPRD2,30,23,survives,7,0.35,0.761,0.0,present,survives: high EB and reproducible (guide + donor)
SUPT7L,20,24,survives,-4,0.366,0.682,0.0,present,survives: high EB and reproducible (guide + donor)
WAC,35,25,promoted,10,0.363,0.816,0.0,present,promoted: high guide/donor reproducibility (undervalued by the core)
MED15,28,26,survives,2,0.322,0.776,0.0,present,survives: high EB and reproducible (guide + donor)
USP22,27,27,survives,0,0.293,0.808,0.0,present,survives: high EB and reproducible (guide + donor)
DENR,18,28,survives,-10,0.278,0.747,0.0,present,survives: high EB and reproducible (guide + donor)
SENP5,3,29,survives,-26,0.082,0.787,0.0,present,survives: high EB and reproducible (guide + donor)
MED24,49,30,promoted,19,0.42,0.829,0.0,present,promoted: high guide/donor reproducibility (undervalued by the core)
EIF4G2,23,31,demoted,-8,0.313,0.71,0.0,present,demoted: lower reproducibility than its peers
ELOF1,15,33,demoted,-18,0.283,0.687,0.0,present,demoted: low cross-guide correlation
ELOB,17,43,demoted,-26,0.242,0.643,0.0,present,demoted: low cross-guide correlation
CCNC,6,45,demoted,-39,0.185,0.582,0.0,present,demoted: low cross-guide correlation
SMG1,24,288,demoted,-264,0.053,0.445,1.0,present,demoted: single-guide (no cross-guide check)
