rank,gene,condition,regpower_eb_mean,regpower_eb_sd,p_top_1pct,observed_n_downstream,expected_downstream,ontarget_significant,single_guide_estimate,n_guides,offtarget_flag,interpretation_note,stability_frequency,regulator_class
1,SGF29,Stim48hr,2.5012,0.8956,0.8236,4868,930.5,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.71; no off-target,0.845,global
2,TADA2B,Stim8hr,2.446,0.8956,0.8071,5919,1240.2,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),True,KD sig 3/3 cond; cross-cond repro 0.79; possible off-target,0.667,global
3,SENP5,Stim8hr,2.4291,0.8956,0.8019,5171,865.8,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.54; no off-target,0.718,global
4,SUPT20H,Stim8hr,2.3911,0.8956,0.7899,3947,833.4,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.78; no off-target,0.705,global
5,TADA1,Stim8hr,2.3527,0.8956,0.7773,3648,802.1,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.81; no off-target,0.585,global
6,CCNC,Stim48hr,2.2948,0.8956,0.7576,4090,756.9,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.56; no off-target,0.639,global
7,MED12,Stim8hr,2.2839,0.8956,0.7538,4141,748.7,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.49; no off-target,0.622,global
8,NFRKB,Rest,2.265,0.8956,0.747,3019,734.6,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.83; no off-target,0.636,global
9,TAF6L,Stim8hr,2.2397,0.8956,0.7379,4638,1008.9,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),True,KD sig 3/3 cond; cross-cond repro 0.73; possible off-target,0.677,global
10,ARNT,Stim48hr,2.2236,0.8956,0.7321,2946,704.9,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.79; no off-target,0.524,global
11,ATP2A2,Rest,2.2224,0.8956,0.7316,3518,704.0,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.45; no off-target,0.642,global
12,TAF13,Stim8hr,2.1897,0.8956,0.7194,3341,681.3,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.63; no off-target,0.59,global
13,LEO1,Rest,2.1758,0.8956,0.7142,3014,672.0,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.59; no off-target,0.579,global
14,KDM1A,Stim48hr,2.1629,0.8956,0.7093,2912,663.3,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.69; no off-target,0.589,global
15,ELOF1,Stim48hr,2.1495,0.8956,0.7041,4257,1094.1,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),True,KD sig 3/3 cond; cross-cond repro 0.78; possible off-target,0.616,global
16,SMARCE1,Stim8hr,2.1436,0.8956,0.7018,3266,650.6,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.48; no off-target,0.621,global
17,ELOB,Stim8hr,2.1128,0.8956,0.6898,3051,630.9,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.49; no off-target,0.608,global
18,DENR,Stim8hr,2.1044,0.8956,0.6865,3636,625.6,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.41; no off-target,0.528,global
19,ATAD5,Rest,2.1029,0.8956,0.6859,3790,1044.2,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),True,KD sig 3/3 cond; cross-cond repro 0.92; possible off-target,0.554,global
20,SUPT7L,Stim8hr,2.0977,0.8956,0.6838,4330,1038.8,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),True,KD sig 3/3 cond; cross-cond repro 0.68; possible off-target,0.595,global
21,DHX36,Rest,2.0928,0.8956,0.6819,2326,618.3,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.78; no off-target,0.529,global
22,ELAVL1,Stim8hr,2.0873,0.8956,0.6797,2169,615.0,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.93; no off-target,0.518,global
23,EIF4G2,Stim8hr,2.085,0.8956,0.6788,2529,613.5,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.72; no off-target,0.602,global
24,SMG1,Stim8hr,2.0846,0.8956,0.6786,2683,613.3,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.64; no off-target,0.531,global
25,CREBBP,Stim8hr,2.0793,0.8956,0.6765,2968,610.1,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.53; no off-target,0.486,global
26,AHR,Rest,2.0783,0.8956,0.6761,2789,609.5,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.64; no off-target,0.521,global
27,USP22,Stim8hr,2.0489,0.8956,0.6642,2380,591.8,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.75; no off-target,0.497,global
28,MED15,Rest,2.0454,0.8956,0.6628,2806,589.7,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.48; no off-target,0.465,global
29,NSD1,Stim48hr,2.0439,0.8956,0.6621,2174,588.8,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.81; no off-target,0.41,global
30,RPRD2,Stim48hr,2.0414,0.8956,0.6611,2754,587.4,True,NA (requires DE_stats.h5ad),NA (requires DE_stats.h5ad),False,KD sig 3/3 cond; cross-cond repro 0.55; no off-target,0.497,global
