gene,peak_condition,old_rank,new_rank,rank_shift,guide_corr,donor_corr,single_guide_frac,repro_weight,reweighted_score,donor_metadata,donor_corr_hits_mean,donor_corr_hits_min,donor_robust
TADA2B,Stim8hr,2,1,1,0.659,0.847,0.0,0.766,1.8736,present,0.8451168354079335,0.8266845700082824,True
SGF29,Stim48hr,1,2,-1,0.563,0.815,0.0,0.709,1.7734,present,0.8499779996754208,0.8187470864893297,True
MED12,Stim8hr,7,3,4,0.531,0.829,0.0,0.7,1.5987,present,0.8287922165059164,0.8121322780028447,True
TAF6L,Stim8hr,9,4,5,0.566,0.821,0.0,0.713,1.5969,present,0.8509574254017558,0.8348930824286863,True
TADA1,Stim8hr,5,5,0,0.48,0.809,0.0,0.669,1.574,present,0.7816227256711904,0.7725222723126571,True
ARNT,Stim48hr,10,6,4,0.509,0.862,0.0,0.703,1.5632,present,0.8681507876085462,0.8372040290288618,True
KDM1A,Stim48hr,14,7,7,0.553,0.831,0.0,0.711,1.5378,present,0.8494166658177731,0.8423649206722434,True
SUPT20H,Stim8hr,4,8,-4,0.422,0.809,0.0,0.643,1.5375,present,0.8109203478342618,0.7785413910576663,True
ATAD5,Rest,19,9,10,0.595,0.798,0.0,0.717,1.5078,present,0.8118954145972411,0.7993072128420612,True
ATP2A2,Rest,11,10,1,0.558,0.731,0.0,0.674,1.4979,present,0.7867744594895628,0.7576572272145693,True
NFRKB,Rest,8,11,-3,0.399,0.834,0.0,0.642,1.4541,present,0.8345639980256337,0.8234993110493538,True
SMARCE1,Stim8hr,16,12,4,,0.809,0.0,0.678,1.4534,present,0.7826997353792698,0.7706357343827016,True
TAF13,Stim8hr,12,13,-1,0.452,0.809,0.0,0.657,1.4386,present,0.8111665817417123,0.7997627303876554,True
SETDB1,Rest,37,14,23,0.573,0.878,0.0,0.738,1.3894,present,0.8775725901001054,0.8719532670677503,True
AHR,Rest,26,15,11,0.444,0.825,0.0,0.659,1.3696,present,0.7947426330302801,0.7327206109196869,True
CPSF6,Stim8hr,31,16,15,,0.766,0.0,0.662,1.3493,present,0.7678832655214379,0.740974925418453,True
LEO1,Rest,13,17,-4,0.383,0.767,0.0,0.611,1.3294,present,0.7511791874034467,0.7014134431925292,True
CREBBP,Stim8hr,25,18,7,0.399,0.799,0.0,0.629,1.3079,present,0.7938773408557531,0.7777230697422245,True
DHX36,Rest,21,19,2,0.389,0.795,0.0,0.623,1.3038,present,0.814151859576619,0.7904788496647642,True
NSD1,Stim48hr,29,20,9,0.434,0.724,0.0,0.618,1.2631,present,0.8003342667044792,0.7666719348918525,True
ELAVL1,Stim8hr,22,21,1,0.34,0.791,0.0,0.6,1.2524,present,0.7964183277618555,0.7480469689054807,True
WDR82,Stim8hr,38,22,16,0.426,0.849,0.0,0.659,1.2391,present,0.8330098064829762,0.8153695917441458,True
RPRD2,Stim48hr,30,23,7,0.35,0.761,0.0,0.594,1.2126,present,0.7118001362680758,0.6579209458170364,True
SUPT7L,Stim8hr,20,24,-4,0.366,0.682,0.0,0.575,1.2062,present,0.6834597423315899,0.6682647111342173,True
WAC,Stim8hr,35,25,10,0.363,0.816,0.0,0.619,1.2048,present,0.8078018710438757,0.7972894931281025,True
MED15,Rest,28,26,2,0.322,0.776,0.0,0.587,1.2006,present,0.7673375573422087,0.7200867617001216,True
USP22,Stim8hr,27,27,0,0.293,0.808,0.0,0.585,1.1986,present,0.7993855045225224,0.7801252888033148,True
DENR,Stim8hr,18,28,-10,0.278,0.747,0.0,0.558,1.1743,present,0.6948710265696668,0.6873504361608536,True
SENP5,Stim8hr,3,29,-26,0.082,0.787,0.0,0.483,1.1733,present,0.7657609693192629,0.738648453950823,True
MED24,Stim8hr,49,30,19,0.42,0.829,0.0,0.649,1.1727,present,0.831166403687666,0.7960259379536796,True
